               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.016341,            0.037067,            0.001219,             0.96907,             0.93957,             0.97043,             0.81413,            0.012921,             0.03188,          0.00076091,            0.002674,            0.002674,            0.002674
                  76,            0.016249,            0.037565,           0.0012344,             0.96924,             0.94096,             0.97089,             0.81651,            0.012862,            0.031576,          0.00073285,            0.002575,            0.002575,            0.002575
                  77,            0.016131,            0.036836,           0.0012165,             0.96799,             0.94139,             0.97095,             0.81804,            0.012831,            0.031491,          0.00072081,            0.002476,            0.002476,            0.002476
                  78,            0.016093,            0.036744,           0.0011832,             0.96939,             0.94069,             0.97135,             0.81829,            0.012805,            0.031419,          0.00069897,            0.002377,            0.002377,            0.002377
                  79,            0.015954,            0.036579,           0.0011873,             0.97019,             0.94199,             0.97189,             0.81788,            0.012781,            0.031338,          0.00068052,            0.002278,            0.002278,            0.002278
                  80,            0.015854,            0.036517,           0.0011579,             0.97117,             0.94055,             0.97104,             0.81956,            0.012718,            0.031238,          0.00065967,            0.002179,            0.002179,            0.002179
                  81,            0.015846,            0.035926,           0.0011679,             0.97288,             0.94159,             0.97144,             0.82005,            0.012684,            0.031138,          0.00064435,             0.00208,             0.00208,             0.00208
                  82,            0.015753,            0.036424,           0.0011608,             0.97204,             0.94173,             0.97134,             0.81936,            0.012673,            0.031186,          0.00064531,            0.001981,            0.001981,            0.001981
                  83,            0.015608,            0.035833,           0.0011245,             0.97203,              0.9416,             0.97147,              0.8211,            0.012628,            0.031024,          0.00062624,            0.001882,            0.001882,            0.001882
                  84,            0.015623,            0.036183,            0.001155,             0.97149,             0.94235,             0.97162,             0.82159,            0.012596,            0.030946,          0.00061993,            0.001783,            0.001783,            0.001783
                  85,            0.015465,            0.035522,           0.0011131,             0.97041,              0.9424,             0.97108,             0.82258,            0.012557,            0.030862,           0.0006139,            0.001684,            0.001684,            0.001684
                  86,            0.015455,            0.035658,           0.0011044,             0.97008,              0.9435,             0.97137,             0.82332,            0.012545,            0.030785,          0.00059634,            0.001585,            0.001585,            0.001585
