               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.018924,           0.0060249,          0.00043323,             0.96684,             0.91198,             0.94746,             0.80135,            0.012564,           0.0052571,          0.00025266,            0.001535,            0.001535,            0.001535
                  72,            0.019063,           0.0060334,          0.00043672,             0.96394,              0.9154,             0.94917,             0.80131,            0.012549,           0.0052528,           0.0002482,           0.0014855,           0.0014855,           0.0014855
                  73,            0.018739,           0.0059973,          0.00042886,             0.96542,             0.91584,             0.94924,              0.8035,             0.01249,           0.0051562,          0.00024435,            0.001436,            0.001436,            0.001436
                  74,            0.018737,           0.0058712,          0.00042968,             0.96671,             0.91546,             0.94777,             0.80157,            0.012375,           0.0051713,          0.00023748,           0.0013865,           0.0013865,           0.0013865
                  75,            0.018615,           0.0058893,          0.00041568,             0.97022,             0.91372,             0.95075,             0.80674,            0.012272,           0.0051164,          0.00023619,            0.001337,            0.001337,            0.001337
                  76,            0.018606,           0.0059476,          0.00042042,             0.96911,             0.91844,              0.9581,             0.81413,            0.012281,           0.0051188,          0.00023285,           0.0012875,           0.0012875,           0.0012875
                  77,            0.018462,           0.0058741,          0.00041293,             0.96968,             0.91386,             0.95077,             0.80787,            0.012286,           0.0050992,          0.00022809,            0.001238,            0.001238,            0.001238
                  78,            0.018372,           0.0057835,          0.00040654,             0.96807,             0.92015,             0.95588,             0.80976,            0.012267,           0.0050738,          0.00022483,           0.0011885,           0.0011885,           0.0011885
                  79,            0.018232,           0.0057892,          0.00040094,             0.96666,             0.92023,             0.95531,             0.81336,            0.012099,           0.0050449,          0.00022058,            0.001139,            0.001139,            0.001139
                  80,             0.01808,           0.0058768,          0.00039192,             0.96835,             0.91667,             0.95162,             0.81163,            0.011974,           0.0049696,          0.00021746,           0.0010895,           0.0010895,           0.0010895
                  81,            0.018014,           0.0056774,           0.0003939,             0.96811,             0.92028,             0.95496,             0.81538,            0.011926,           0.0049821,          0.00021543,             0.00104,             0.00104,             0.00104
                  82,            0.017909,           0.0057047,          0.00038707,             0.96679,             0.92096,             0.95342,             0.81516,            0.011894,           0.0049362,          0.00020964,           0.0009905,           0.0009905,           0.0009905
                  83,            0.017692,           0.0056206,           0.0003816,             0.96838,             0.92281,             0.95514,             0.81851,              0.0118,           0.0049102,          0.00020641,            0.000941,            0.000941,            0.000941
                  84,            0.017656,           0.0056534,          0.00037701,             0.97022,             0.91988,             0.95416,              0.8188,            0.011812,           0.0048852,          0.00020333,           0.0008915,           0.0008915,           0.0008915
                  85,            0.017477,           0.0055435,           0.0003651,             0.96991,             0.92063,             0.95564,             0.82009,            0.011757,           0.0048672,          0.00019917,            0.000842,            0.000842,            0.000842
                  86,             0.01736,           0.0055469,          0.00036679,             0.96881,             0.92171,             0.95535,             0.82008,            0.011711,           0.0048716,          0.00019599,           0.0007925,           0.0007925,           0.0007925
                  87,            0.017384,           0.0054982,           0.0003608,             0.96858,             0.92231,             0.95684,             0.82192,            0.011661,           0.0048287,          0.00019181,            0.000743,            0.000743,            0.000743
                  88,            0.017365,           0.0054883,          0.00035431,             0.97011,              0.9158,             0.95118,             0.81791,            0.011645,           0.0048136,          0.00018813,           0.0006935,           0.0006935,           0.0006935
                  89,            0.017028,           0.0054516,          0.00034716,             0.97016,             0.92095,             0.95732,             0.82381,            0.011583,           0.0047881,          0.00018382,            0.000644,            0.000644,            0.000644
                  90,            0.017054,           0.0054134,          0.00034943,             0.96946,             0.92221,             0.95723,             0.82517,             0.01155,           0.0047601,          0.00017901,           0.0005945,           0.0005945,           0.0005945
                  91,            0.016808,           0.0053747,          0.00033477,             0.97022,             0.92067,             0.95426,             0.82414,            0.011507,           0.0047364,          0.00017492,            0.000545,            0.000545,            0.000545
                  92,            0.016851,           0.0053646,          0.00033427,             0.96969,             0.92711,             0.96028,             0.82996,            0.011461,           0.0046999,          0.00017189,           0.0004955,           0.0004955,           0.0004955
                  93,            0.016502,           0.0052724,          0.00032173,             0.97185,             0.92528,             0.96017,             0.83153,            0.011405,            0.004673,          0.00016898,            0.000446,            0.000446,            0.000446
                  94,            0.016597,           0.0051986,          0.00032235,             0.97047,             0.92077,             0.95306,             0.82558,            0.011348,           0.0046467,          0.00016556,           0.0003965,           0.0003965,           0.0003965
                  95,            0.016418,           0.0052376,          0.00031673,             0.97122,             0.91343,             0.94616,             0.82044,            0.011316,           0.0046326,          0.00016238,            0.000347,            0.000347,            0.000347
                  96,            0.016258,            0.005184,          0.00030698,              0.9716,             0.92651,             0.96043,             0.83316,            0.011282,            0.004607,          0.00015981,           0.0002975,           0.0002975,           0.0002975
                  97,            0.016197,           0.0051072,          0.00030532,             0.97166,             0.92306,             0.95584,             0.82996,            0.011255,           0.0045939,          0.00015694,            0.000248,            0.000248,            0.000248
                  98,            0.015999,           0.0051089,          0.00030157,             0.97084,             0.92234,             0.95547,             0.83062,            0.011245,           0.0045715,          0.00015426,           0.0001985,           0.0001985,           0.0001985
                  99,            0.016029,           0.0049955,          0.00030146,             0.97036,              0.9256,             0.95827,             0.83268,            0.011218,           0.0045537,          0.00015215,            0.000149,            0.000149,            0.000149
